1;oi maria tudo bem?;joao;maria;2023-07-03T11:12:02.314119100
2;tudo bem joao!;maria;joao;2023-07-03T11:12:02.338077900
3;vamos fazer juntos?;joao;maria;2023-07-03T11:12:02.354411900
4;vou criar um grupo e chamar jose tb;maria;joao;2023-07-03T11:12:02.367416800
5;teste;joao;joao;2023-07-03T11:12:02.384493200
6;maria/oi pessoal criei o grupo do projeto;grupo1;joao;2023-07-03T11:12:02.464771900
6;maria/oi pessoal criei o grupo do projeto;grupo1;jose;2023-07-03T11:12:02.464771900
6;oi pessoal criei o grupo do projeto;maria;grupo1;2023-07-03T11:12:02.464771900
7;joao/obrigado maria;grupo1;maria;2023-07-03T11:12:02.477309600
7;joao/obrigado maria;grupo1;jose;2023-07-03T11:12:02.477309600
7;obrigado maria;joao;grupo1;2023-07-03T11:12:02.477309600
8;jose/valeu maria;grupo1;joao;2023-07-03T11:12:02.492819500
8;jose/valeu maria;grupo1;maria;2023-07-03T11:12:02.492819500
8;valeu maria;jose;grupo1;2023-07-03T11:12:02.491318000
9;maria/vamos conversar sobre o projeto hoje;grupo1;joao;2023-07-03T11:12:02.509142800
9;maria/vamos conversar sobre o projeto hoje;grupo1;jose;2023-07-03T11:12:02.509142800
9;vamos conversar sobre o projeto hoje;maria;grupo1;2023-07-03T11:12:02.509142800
